Algorithm,6,7,8,9,10,11,12,20,50
SortR Cmax,0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%]
SortR Time[ns],159,109,71,28,25,26,27,27,26
SortQ Cmax,0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%]
SortQ Time[ns],27,32,51,25,28,25,26,30,25
Schrage Cmax,0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%]
Schrage Time[ns],190,195,72,48,35,27,28,26,27
SchrageDiv Cmax,0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%]
SchrageDiv Time[ns],616,240,103,48,27,27,27,28,27
BruteForce Cmax,0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],-,-
BruteForce Time[ms],0,0,0,0,0,0,0,-,-
Custom Cmax,0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%],0 [0%]
Custom Time[ns],550,75,66,52,46,27,29,27,26
